ML_CATALOG_NUMBERS,DATA_TYPE,XSIZE,YSIZE
22375461,photo,1200,800
22376161,photo,1200,469
22376201,photo,1200,688
22376211,photo,798,1200
22376221,photo,1200,798
22376231,photo,1200,718
22376241,photo,1200,534
22376261,photo,1200,472
22376291,photo,1200,798
22376301,photo,1200,797
22376321,photo,1200,837
22376331,photo,1200,798
22376351,photo,1200,798
22376361,photo,1200,798
22376371,photo,1200,798
22376381,photo,1200,798
22376391,photo,1200,798
22376431,photo,1200,798
22376451,photo,798,1200
22376471,photo,793,1200
22376491,photo,1200,798
22376501,photo,1200,798
22376721,photo,1200,800
22376741,photo,800,1200
22376751,photo,1200,800
22376781,photo,800,1200
22376851,photo,1200,800
22376921,photo,1200,800
22376931,photo,1200,797
22376951,photo,1200,797
22377021,photo,1200,798
22377031,photo,1200,548
22377061,photo,1200,798
22377071,photo,1200,736
22377081,photo,1200,798
22377121,photo,1200,800
22377151,photo,1200,800
22389371,photo,1200,798
22389381,photo,1200,798
22389391,photo,1200,830
22389401,photo,1200,798
22389411,photo,1200,798
22389421,photo,1200,798
22389821,photo,1156,856
22389841,photo,1200,1068
22390971,photo,1200,798
22390991,photo,1200,798
22391011,photo,1200,798
22391041,photo,798,1200
22391331,photo,1200,798
22391341,photo,1200,798
22391361,photo,1200,798
